Source Table,ID,Variable Name,Unit,Additional information
Observation,200,Heart rate,/min,
Observation,410,Core body temperature,°C,
Observation,7100,Rectal temperature,°C,
Observation,400,Axillary temperature,°C,
Observation,100,Invasive systolic arterial pressure,mmHg,
Observation,120,Invasive diastolic arterial pressure,mmHg,
Observation,110,Invasive mean arterial pressure,mmHg,
Observation,600,Non-invasive systolic arterial pressure,mmHg,
Observation,620,Non-invasive diastolic arterial pressure,mmHg,
Observation,610,Non-invasive mean arterial pressure,mmHg,
Observation,160,Pulmonary artery mean pressure,mmHg,
Observation,150,Pulmonary artery systolic pressure,mmHg,
Observation,170,Pulmonary artery diastolic pressure,mmHg,
Observation,800,Pulmonary artery wedge pressure,mmHg,
Observation,1000,Cardiac output,l/min,
Observation,4200,Mixed venous oxygen saturation,%,
Observation,700,Central venous pressure,mmHg,
Observation,15001441,Central venous pressure,mmHg,
Observation,960,Central venous pressure,mmHg,
Observation,210,ST elevation,mm,
Observation,211,ST elevation,mm,
Observation,212,ST elevation,mm,
Observation,15001166,Circadian rhythm,Categorical ['SR'; 'SB'; 'ST'; 'AF'; 'Nodal'; 'Paced'; 'PM'; 'AV bl (I)'; 'AV bl (II)'; 'AV bl (III)'; 'Vfli'; 'Vfla'; 'Kammerrhythm'; 'Kfli'; 'Asystolie';  'Sinusarrhyth'],
Observation,4000,Peripheral oxygen saturation,%,
Observation,8280,Peripheral oxygen saturation,%,
Observation,2200,End tidal carbon dioxide concentration,mmHg,
Observation,8290,End tidal carbon dioxide concentration,mmHg,
Observation,30010009,End tidal carbon dioxide concentration,mmHg,
Observation,300,Respiratory rate,/min,
Observation,310,Respiratory rate,/min,
Observation,5685,Respiratory rate,/min,
Observation,15001555,Oxygen administration by mask,l/min,
Observation,15001525,Oxygen administration by nasal cannula,l/min,
Observation,2010,Inspired oxygen concentration,%,
Observation,2600,Positive end expiratory pressure setting,cmH2O,
Observation,2610,Positive end expiratory pressure,cmH2O,
Observation,3845,Ventilator mode,Categorical,
Observation,2410,Expiratory tidal volume,ml,
Observation,2400,Tidal volume setting,ml,
Observation,3110,Peak inspiratory pressure,cmH2O,
Observation,3200,Plateau pressure,cmH2O,
Observation,3000,Mean inspiratory airway pressure,cmH2O,
Observation,320,Ventilator rate,/min,
Observation,15001552,Ventilator Airway Code,Categorical,
Observation,10020000,Hourly urine volume,ml/h,
Observation,10000100,Glasgow Coma Score verbal response subscore,Ordinal Score,
Observation,10000200,Glasgow Coma Score motor response subscore,Ordinal Score,
Observation,10000300,Glasgow Coma Score eye opening subscore,Ordinal Score,
Observation,15001565,Richmond agitation-sedation scale,Ordinal Score,
Observation,510,Intracranial pressure,mmHg,
Observation,15004303,Intracranial pressure,mmHg,
Observation,15001597,Intracranial pressure,mmHg,
Observation,10010020,Measurement of output from drain,ml,Liquor
Observation,10010072,Measurement of output from drain,ml,Liquor
Observation,10010070,Measurement of output from drain,ml,Liquor
Observation,10010071,Measurement of output from drain,ml,Liquor
Observation,7887,Train of four count,Ordinal Score,
Observation,30005010,Fluid balance,cummulative,
Observation,30005110,Fluid balance,cummulative,
Observation,30005075,Infusion of saline solution,cummulative,
Observation,30005080,Intravenous fluid colloid administration,cummulative,
Observation,10000400,Body weight,kg,
Observation,10000450,Body height measure,cm,
Observation,9990002,APACHE II Group,,
Observation,9990004,APACHE IV Group,,
Observation,20001300,Base excess in Arterial blood by calculation,mmol/l,
Observation,24000526,Carboxyhemoglobin/Hemoglobin.total in Arterial blood,%,
Observation,24000548,Hemoglobin [Mass/volume] in Arterial blood,g/L,
Observation,20004200,Bicarbonate [Moles/volume] in Arterial blood,mmol/l,
Observation,24000524,Lactate [Mass/volume] in Arterial blood,mmol/l,
Observation,24000549,Methemoglobin/Hemoglobin.total in Arterial blood,%,
Observation,20000300,pH of Arterial blood,,
Observation,20001200,Carbon dioxide [Partial pressure] in Arterial blood,mmHg,
Observation,20000200,Oxygen [Partial pressure] in Arterial blood,mmHg,
Observation,20000800,Oxygen saturation in Arterial blood,%,
Observation,20001000,Central venous oxygenation saturation,%,
Observation,24000737,Central venous oxygenation saturation,%,
Observation,24000538,Troponin T.cardiac [Mass/volume] in Serum or Plasma,ng/l,
Observation,24000806,Troponin T.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method,ng/l,
Observation,24000210,Creatine kinase panel - Serum or Plasma,U/l,
Observation,24000220,Creatine kinase.MB [Mass/volume] in Serum or Plasma,U/l,
Observation,24000732,Lactate [Moles/volume] in Venous blood,mmol/l,
Observation,24000485,Lactate [Moles/volume] in Venous blood,mmol/l,
Observation,24000569,Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma,pg/ml,
Observation,20000500,Potassium [Moles/volume] in Blood,mmol/l,
Observation,24000520,Potassium [Moles/volume] in Blood,mmol/l,
Observation,24000833,Potassium [Moles/volume] in Blood,mmol/l,
Observation,24000867,Potassium [Moles/volume] in Blood,mmol/l,
Observation,20000400,Sodium [Moles/volume] in Blood,mmol/l,
Observation,24000519,Sodium [Moles/volume] in Blood,mmol/l,
Observation,24000658,Sodium [Moles/volume] in Blood,mmol/l,
Observation,24000835,Sodium [Moles/volume] in Blood,mmol/l,
Observation,24000866,Sodium [Moles/volume] in Blood,mmol/l,
Observation,24000439,Chloride [Moles/volume] in Blood,mmol/l,
Observation,24000521,Chloride [Moles/volume] in Blood,mmol/l,
Observation,24000522,Calcium.ionized [Moles/volume] in Blood,mmol/l,
Observation,20005100,Calcium [Moles/volume] in Blood,mmol/l,
Observation,20002500,Phosphate [Moles/volume] in Blood,mmol/l,
Observation,24000230,Magnesium [Moles/volume] in Blood,mmol/l,
Observation,20004100,Urea [Moles/volume] in Venous blood,mmol/l,
Observation,20000600,Creatinine [Moles/volume] in Blood,umol/l,
Observation,24000572,Creatinine [Moles/volume] in Urine,umol/l,
Observation,24000573,Creatinine [Moles/volume] in Urine,umol/l,
Observation,20003200,Sodium [Moles/volume] in Urine,mmol/l,
Observation,24000754,Urea [Moles/volume] in Urine,mmol/l,
Observation,24000330,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,U/l,
Observation,20002600,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,U/l,
Observation,20004300,Bilirubin.total [Moles/volume] in Serum or Plasma,umol/l,
Observation,24000560,Bilirubin.direct [Mass/volume] in Serum or Plasma,umol/l,
Observation,20002700,Alkaline phosphatase [Enzymatic activity/volume] in Blood,U/l,
Observation,24000370,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,U/l,
Observation,20004410,aPTT in Blood by Coagulation assay,Sek,
