,feature_importance
Heart_rate_max,0.76789767
age,0.53243196
Heart_rate_min,0.25731418
bmi,0.24539803
Antiarrythmic,0.2335379
Infusion_of_saline_solution_max,0.1974072
Central_venous_pressure_min,0.18550389
Antithrombotic,0.15989205
Diastolic BP_min,0.1175044
Fluid_balance_min,0.1121728
MAP_min,0.1069312
Nutrients,0.08236835
Respiratory_rate_min,0.074904464
MAP_max,0.06843788
Respiratory_rate_max,0.06692106
Infusion_of_saline_solution_min,0.06511012
sex,0.06096376
End_tidal_carbon_dioxide_concentration_min,0.05770759
Systolic BP_max,0.054104365
Glasgow_Coma_Score_verbal_response_subscore_max,0.053548936
Peak_inspiratory_pressure_max,0.051109415
Peripheral_oxygen_saturation_min,0.050782796
Fluid_balance_max,0.04837309
Systolic BP_min,0.047645956
Diastolic BP_max,0.045229472
Central_venous_pressure_max,0.04491623
End_tidal_carbon_dioxide_concentration_max,0.04181034
Opioid painkiller,0.040507745
Peripheral_oxygen_saturation_max,0.036468655
Plateau_pressure_min,0.034476273
Vasopressor,0.033972785
Glucose_Molesvolume_in_Serum_or_Plasma_max,0.031191561
Hourly_urine_volume_max,0.03113599
Mean_inspiratory_airway_pressure_max,0.030616676
Tidal_volume_setting_min,0.027027048
ST_elevation_min,0.026824553
Inspired_oxygen_concentration_min,0.026038999
Richmond_agitationsedation_scale_min,0.025650281
Inspired_oxygen_concentration_max,0.025608612
Expiratory_tidal_volume_max,0.025117079
Hourly_urine_volume_min,0.024883674
Positive_end_expiratory_pressure_max,0.023543423
Positive_end_expiratory_pressure_min,0.023093747
Richmond_agitationsedation_scale_max,0.022942515
Expiratory_tidal_volume_min,0.02143755
Peak_inspiratory_pressure_min,0.020229144
Tidal_volume_setting_max,0.019946326
Vasodilator,0.018576993
Chloride_Molesvolume_in_Blood_min,0.018414246
Calciumionized_Molesvolume_in_Blood_max,0.018123716
Ventilator_mode_min,0.018017694
Mean_inspiratory_airway_pressure_min,0.01767
Bicarbonate_Molesvolume_in_Arterial_blood_min,0.017279822
pH_of_Arterial_blood_min,0.016827492
Creatine_kinase_panel__Serum_or_Plasma_max,0.01666007
Insulin,0.016351964
Glucose_Molesvolume_in_Serum_or_Plasma_min,0.016006514
Anaesthetic,0.01595352
Oxygen_administration_by_nasal_cannula_min,0.015794737
Antibiotic,0.015262966
CarboxyhemoglobinHemoglobintotal_in_Arterial_blood_max,0.014789505
Bicarbonate_Molesvolume_in_Arterial_blood_max,0.014279636
ST_elevation_max,0.0140392585
Ventilator_rate_min,0.013845896
CarboxyhemoglobinHemoglobintotal_in_Arterial_blood_min,0.013579645
Non-opioid painkiller,0.013383565
Chloride_Molesvolume_in_Blood_max,0.013055806
MCHC_Massvolume_in_Cord_blood_max,0.012714732
